order_id,customer_id,orderDate,ProductType,OrderValue
540401,CUST10156,2025-12-03,Holiday Items,96.64
540402,CUST10085,2025-12-09,Electronics,398.56
540403,CUST10059,2025-12-26,Stationery,47.93
540404,CUST10069,2025-12-05,Toys,739.32
540405,CUST10226,2025-12-08,Fashion,165.6
540406,CUST10221,2025-12-30,Kitchen,6.7
540407,CUST10102,2025-12-28,Accessories,127.44
540408,CUST10232,2025-12-17,Kitchen,618.6
540409,CUST10072,2025-12-06,Fashion,344.64
540410,CUST10067,2025-12-12,Fashion,551.1
540411,CUST10054,2025-12-18,Furniture,70.24
540412,CUST10155,2025-12-16,Toys,500.34
540413,CUST10142,2025-12-26,Kitchen,221.64
540414,CUST10194,2025-12-21,Stationery,77.91
540415,CUST10038,2025-12-04,Furniture,312.52
540416,CUST10170,2025-12-17,Fashion,1153.4
540417,CUST10160,2025-12-26,Toys,1066.8
540418,CUST10132,2025-12-17,Gift Items,948.88
540419,CUST10124,2025-12-11,Toys,38.46
540420,CUST10071,2025-12-04,Accessories,302.73
540421,CUST10010,2025-12-08,Kitchen,96.96
540422,CUST10182,2025-12-13,Fashion,1084.2
540423,CUST10053,2025-12-29,Furniture,101.91
540424,CUST10134,2025-12-06,Electronics,288.44
540425,CUST10039,2025-12-04,Kitchen,276.96
540426,CUST10236,2025-12-13,Gift Items,735.0
540427,CUST10222,2025-12-17,Furniture,472.2
540428,CUST10237,2025-12-18,Electronics,86.12
540429,CUST10209,2025-12-02,Kitchen,58.86
540430,CUST10228,2025-12-06,Home Decor,24.25
540431,CUST10099,2025-12-17,Accessories,9.91
540432,CUST10233,2025-12-02,Home Decor,376.64
540433,CUST10172,2025-12-20,Furniture,1216.2
540434,CUST10003,2025-12-04,Furniture,865.0
540435,CUST10096,2025-12-07,Holiday Items,197.2
540436,CUST10186,2025-12-30,Electronics,72.86
540437,CUST10167,2025-12-11,Electronics,438.0
540438,CUST10013,2025-12-25,Accessories,143.56
540439,CUST10197,2025-12-25,Furniture,259.9
540440,CUST10105,2025-12-10,Toys,76.23
540441,CUST10026,2025-12-26,Home Decor,601.62
540442,CUST10005,2025-12-25,Accessories,25.83
540443,CUST10095,2025-12-01,Fashion,881.04
540444,CUST10098,2025-12-19,Accessories,686.52
540445,CUST10177,2025-12-29,Home Decor,82.88
540446,CUST10172,2025-12-29,Holiday Items,426.88
540447,CUST10004,2025-12-03,Holiday Items,272.56
540448,CUST10182,2025-12-03,Kitchen,225.84
540449,CUST10207,2025-12-01,Accessories,473.8
540450,CUST10158,2025-12-13,Toys,486.72
540451,CUST10011,2025-12-16,Furniture,466.3
540452,CUST10195,2025-12-18,Electronics,45.66
540453,CUST10076,2025-12-07,Furniture,414.48
540454,CUST10146,2025-12-24,Toys,140.73
540455,CUST10118,2025-12-20,Home Decor,169.76
540456,CUST10143,2025-12-14,Furniture,360.0
540457,CUST10031,2025-12-19,Accessories,1295.76
540458,CUST10165,2025-12-22,Accessories,1432.92
540459,CUST10206,2025-12-12,Toys,90.56
540460,CUST10217,2025-12-15,Kitchen,189.76
540461,CUST10178,2025-12-01,Toys,1078.7
540462,CUST10034,2025-12-03,Holiday Items,69.44
540463,CUST10134,2025-12-21,Toys,335.46
540464,CUST10098,2025-12-06,Home Decor,1201.8
540465,CUST10219,2025-12-18,Home Decor,586.95
540466,CUST10201,2025-12-03,Accessories,673.86
540467,CUST10249,2025-12-11,Kitchen,251.58
540468,CUST10181,2025-12-10,Kitchen,596.8
540469,CUST10155,2025-12-13,Gift Items,179.61
540470,CUST10205,2025-12-22,Furniture,27.7
540471,CUST10183,2025-12-20,Toys,106.32
540472,CUST10069,2025-12-14,Gift Items,903.6
