order_id,customer_id,orderDate,ProductType,OrderValue
537601,CUST10244,2025-05-27,Furniture,894.96
537602,CUST10194,2025-05-23,Kitchen,1034.64
537603,CUST10030,2025-05-03,Gift Items,452.88
537604,CUST10177,2025-05-10,Stationery,58.84
537605,CUST10153,2025-05-29,Furniture,295.5
537606,CUST10008,2025-05-10,Kitchen,136.38
537607,CUST10037,2025-05-23,Electronics,70.48
537608,CUST10021,2025-05-05,Holiday Items,86.15
537609,CUST10124,2025-05-25,Holiday Items,23.26
537610,CUST10204,2025-05-02,Furniture,25.57
537611,CUST10065,2025-05-30,Home Decor,57.62
537612,CUST10194,2025-05-01,Kitchen,75.88
537613,CUST10151,2025-05-07,Electronics,221.22
537614,CUST10024,2025-05-01,Gift Items,243.9
537615,CUST10091,2025-05-12,Gift Items,569.9
537616,CUST10062,2025-05-20,Furniture,1130.88
537617,CUST10196,2025-05-19,Home Decor,28.28
537618,CUST10247,2025-05-07,Fashion,336.0
537619,CUST10002,2025-05-18,Kitchen,325.35
537620,CUST10182,2025-05-28,Accessories,442.64
537621,CUST10113,2025-05-06,Kitchen,507.18
537622,CUST10109,2025-05-13,Electronics,301.74
537623,CUST10195,2025-05-04,Stationery,350.88
537624,CUST10035,2025-05-17,Accessories,114.48
537625,CUST10185,2025-05-18,Home Decor,511.86
537626,CUST10099,2025-05-04,Fashion,82.1
537627,CUST10176,2025-05-10,Accessories,730.5
537628,CUST10219,2025-05-10,Holiday Items,270.36
537629,CUST10216,2025-05-29,Accessories,412.68
537630,CUST10126,2025-05-22,Kitchen,141.42
537631,CUST10174,2025-05-22,Kitchen,431.76
537632,CUST10178,2025-05-13,Toys,38.7
537633,CUST10044,2025-05-29,Kitchen,179.24
537634,CUST10052,2025-05-11,Toys,702.54
537635,CUST10109,2025-05-27,Accessories,135.36
537636,CUST10149,2025-05-25,Toys,461.85
537637,CUST10165,2025-05-26,Holiday Items,456.85
537638,CUST10244,2025-05-20,Holiday Items,350.46
537639,CUST10197,2025-05-05,Accessories,625.9
537640,CUST10128,2025-05-16,Electronics,33.72
537641,CUST10014,2025-05-24,Kitchen,17.97
537642,CUST10098,2025-05-06,Toys,821.8
537643,CUST10160,2025-05-20,Kitchen,122.7
537644,CUST10197,2025-05-17,Accessories,160.36
537645,CUST10128,2025-05-22,Accessories,262.3
537646,CUST10208,2025-05-11,Furniture,399.0
537647,CUST10009,2025-05-25,Holiday Items,54.96
537648,CUST10219,2025-05-11,Holiday Items,95.16
537649,CUST10046,2025-05-02,Furniture,565.1
537650,CUST10126,2025-05-06,Holiday Items,532.25
537651,CUST10125,2025-05-13,Kitchen,117.63
537652,CUST10139,2025-05-22,Toys,800.6
537653,CUST10041,2025-05-28,Furniture,584.2
537654,CUST10152,2025-05-16,Holiday Items,48.49
537655,CUST10083,2025-05-10,Home Decor,555.36
537656,CUST10215,2025-05-05,Stationery,71.88
537657,CUST10007,2025-05-19,Stationery,585.72
537658,CUST10092,2025-05-12,Holiday Items,111.52
537659,CUST10064,2025-05-08,Electronics,54.78
537660,CUST10177,2025-05-30,Kitchen,360.6
537661,CUST10006,2025-05-06,Furniture,79.75
537662,CUST10222,2025-05-22,Holiday Items,41.34
